time,latency_ms
231827742512374,6.958098
231827753419180,6.743076
231827753423510,6.813249
231827753425045,6.831381
231827753460821,6.827793
231827764743630,6.891444
231827764761196,6.879932
231827764827567,7.013995
231827765783288,7.881076
231827775964434,6.982327
231827775968831,6.996561
231827775970572,6.966021
231827775982127,6.947294
231827787408328,6.970517
231827787413175,6.866182
231827787422359,6.935198
231827787425265,6.934036
231827798665080,7.177195
231827798670552,7.222873
231827798690954,7.195364
231827799760010,8.251295
231827810782462,7.296852
231827810800439,7.320671
231827810802628,7.320671
231827810907967,7.398887
231827822854211,7.459737
231827822859060,7.482098
231827823977274,8.671712
231827823984123,8.611039
231827835337559,7.695667
231827835341408,7.663051
231827835342825,7.780022
231827837214721,9.71356
231827847432072,7.287359
231827848624691,8.498865
231827848641488,8.446432
231827848643803,8.493437
231827858380596,8.126545
231827860385206,7.798848
231827860447592,7.783315
231827860463665,7.83192
231827870216248,9.140535
231827873043809,8.264579
231827873137562,8.345288
231827873956235,9.191056
231827882154626,9.314502
231827884650571,8.093905
231827885621949,8.025418
231827885676845,8.079744
231827892628898,7.886152
231827896378373,8.064816
231827896516560,7.297453
231827897466514,8.231751
231827903745365,8.453326
231827907130385,7.163839
231827908979694,8.97944
231827908983224,9.287155
231827916341415,10.004321
231827918581150,8.983107
231827920840558,8.563407
231827920964383,8.709263
231827929031077,9.094469
231827929160307,7.415799
231827931319531,7.993578
231827931890055,8.568278
231827940802460,7.721966
231827942026358,8.003394
231827942904746,7.830243
231827942907675,7.833203
231827952878849,8.271467
231827954094809,8.154934
231827954924749,9.034159
231827954944723,9.004682
231827962382620,6.825467
231827967338430,7.05352
231827967393268,7.042751
231827970355077,10.104051
231827975830513,10.858844
231827978527049,6.980373
231827979493844,7.289619
231827984022736,10.671517
231827986149720,7.875557
231827990312836,7.75205
231827992579313,10.9733
231827993692315,7.257922
231827999924497,9.885099
231828001102801,8.484539
231828005020917,8.356843
231828005029192,8.459617
231828014421365,7.966891
231828015810797,7.439895
231828015814921,10.359063
231828016741536,8.375922
231828027797908,7.460879
231828029039755,7.763953
231828029043805,7.726726
231828029045455,7.754971
231828040820633,9.715424
231828042242229,7.116436
231828042519222,7.438878
231828042625876,7.506801
231828053509195,9.254048
231828054795498,7.169858
231828055737203,8.107992
231828056052353,8.430824
231828065967557,9.59146
231828068101100,7.860742
231828068105444,7.86981
231828068575085,8.341
231828079173053,7.800726
231828080465743,7.233322
231828081280065,8.05085
231828081309862,8.127813
231828090628816,8.099497
231828092682702,6.790345
231828092685978,6.839083
231828092687077,6.918019
231828100608314,7.38177
231828103674949,6.307146
231828104715441,7.356944
231828104717911,7.360142
231828111150006,8.221871
231828115336082,8.360889
231828117232159,6.527902
231828118337477,7.644952
231828122564044,9.105043
231828126538185,8.116337
231828128447595,7.013618
231828128450311,8.130558
231828134777569,9.040721
231828137483660,6.555852
231828138182030,7.122137
231828138444418,7.386631
231828146216100,8.992627
231828148103957,6.015778
231828148107739,7.538763
231828149235032,7.145224
231828156887134,8.21321
231828159082856,6.275214
231828159087021,6.275152
231828160047166,7.243582
231828166464101,7.139325
231828170502022,7.793022
231828170506291,7.734331
231828170507606,7.716283
231828179443847,7.321342
231828181490984,6.762829
231828181493995,6.760488
231828181495004,6.759621
231828189660719,7.61584
231828192544000,6.283828
231828193454710,7.187189
231828193513275,7.246016
231828198496821,6.307593
231828203168712,7.605743
231828203173239,5.933931
231828205447644,8.202074
231828210564702,9.517362
231828213351949,6.587532
231828213598609,6.84419
231828218376664,8.768334
231828220160420,7.293286
231828225177102,8.001197
231828227124077,9.933943
231828228056004,5.779095
231828232733379,9.959055
231828238051674,6.317544
231828239264057,11.310121
231828240121602,9.458846
231828245397455,10.169194
231828248252286,6.4608
231828249306740,6.894274
231828249310786,6.886559
231828255163262,6.403355
231828259318334,5.823655
231828259343888,5.861796
231828262713909,9.808835
231828265229749,7.637582
231828271076905,6.962483
231828273189269,9.662615
231828273210466,8.236497
231828274650758,7.451241
231828282683941,7.922076
231828284743837,6.489187
231828284747956,6.562636
231828284749584,6.549735
231828294982353,8.863866
231828295555207,6.199638
231828295863274,6.414488
231828296834780,7.336387
231828305656743,5.79668
231828306767896,6.986369
231828306772307,6.982827
231828307525707,7.782792
231828317415105,6.53131
231828317419614,6.506774
231828317421345,6.444717
231828317426191,7.168888
231828327889847,5.922193
231828327894160,5.885733
231828327895563,5.951938
231828327902579,5.913853
231828339261312,6.074345
231828339301447,6.180189
231828339352839,6.239038
231828339369359,6.255682
231828349751157,6.038207
231828349832187,6.086436
231828349865201,6.152458
